column,source_load,filled_cells
ADBDC_SAS7BDAT_PARAMCD_IBDQBLI_AVAL,BASE_ROW,779
ADBDC_SAS7BDAT_PARAMCD_IBDQBLM_AVAL,BASE_ROW,778
ADBDC_SAS7BDAT_PARAMCD_INTO6MP_AVALC,BASE_ROW,784
ADBDC_SAS7BDAT_PARAMCD_INTOCORT_AVALC,BASE_ROW,784
ADBDC_SAS7BDAT_PARAMCD_LTFBL_AVAL,BASE_ROW,739
ADBDC_SAS7BDAT_PARAMCD_LTFMBL_AVAL,BASE_ROW,742
ADBDC_SAS7BDAT_PARAMCD_MAYOBL_AVAL,BASE_ROW,784
ADBDC_SAS7BDAT_PARAMCD_OANTITNF_AVALC,BASE_ROW,784
ADBDC_SAS7BDAT_PARAMCD_OTNINTOL_AVALC,BASE_ROW,784
ADBDC_SAS7BDAT_PARAMCD_OTNPNRSP_AVALC,BASE_ROW,784
ADBDC_SAS7BDAT_PARAMCD_OTNSNRSP_AVALC,BASE_ROW,784
ADBDC_SAS7BDAT_PARAMCD_RDIALL_AVALC,BASE_ROW,784
ADBDC_SAS7BDAT_PARAMCD_RDICORT_AVALC,BASE_ROW,784
ADBDC_SAS7BDAT_PARAMCD_REFR6MP_AVALC,BASE_ROW,783
ADBDC_SAS7BDAT_PARAMCD_REFRCORT_AVALC,BASE_ROW,784
ADBDC_SAS7BDAT_PARAMCD_RI6MPAZA_AVALC,BASE_ROW,784
ADBDC_SAS7BDAT_PARAMCD_TFVEINTO_AVALC,BASE_ROW,784
ADBDC_SAS7BDAT_PARAMCD_TFVEPNRS_AVALC,BASE_ROW,784
ADBDC_SAS7BDAT_PARAMCD_TFVESNRS_AVALC,BASE_ROW,784
ADBDC_SAS7BDAT_PARAMCD_TNFINTOL_AVALC,BASE_ROW,784
ADBDC_SAS7BDAT_PARAMCD_TNFPNRSP_AVALC,BASE_ROW,784
ADBDC_SAS7BDAT_PARAMCD_TNFSNRSP_AVALC,BASE_ROW,784
ADBDC_SAS7BDAT_PARAMCD_VEDINTOL_AVALC,BASE_ROW,784
ADBDC_SAS7BDAT_PARAMCD_VEDOLIZ_AVALC,BASE_ROW,784
ADBDC_SAS7BDAT_PARAMCD_VEDPNRSP_AVALC,BASE_ROW,784
ADBDC_SAS7BDAT_PARAMCD_VEDSNRSP_AVALC,BASE_ROW,784
ADBDC_SAS7BDAT_PARAMCD_WEIGHTBL_AVAL,BASE_ROW,784
ADCHEM_SAS7BDAT_STUDYID,BASE_ROW,20398
ADCHEM_SAS7BDAT_ADT,BASE_ROW,20398
ADCHEM_SAS7BDAT_ATM,BASE_ROW,20398
ADCHEM_SAS7BDAT_ADY,BASE_ROW,19993
ADCHEM_SAS7BDAT_APERIODC,BASE_ROW,18410
ADCHEM_SAS7BDAT_APERIOD,BASE_ROW,18410
ADCHEM_SAS7BDAT_APHASE,BASE_ROW,18410
ADCHEM_SAS7BDAT_APHASEN,BASE_ROW,18410
ADCHEM_SAS7BDAT_TRT01A,BASE_ROW,20017
ADCHEM_SAS7BDAT_TRT01AN,BASE_ROW,20017
ADCHEM_SAS7BDAT_TR01AG1,BASE_ROW,20017
ADCHEM_SAS7BDAT_TR01AG1N,BASE_ROW,20017
ADCHEM_SAS7BDAT_TRT02A,BASE_ROW,8307
ADCHEM_SAS7BDAT_TRT02AN,BASE_ROW,8307
ADCHEM_SAS7BDAT_TR02AG1,BASE_ROW,8307
ADCHEM_SAS7BDAT_TR02AG1N,BASE_ROW,8307
ADCHEM_SAS7BDAT_TR02AG2,BASE_ROW,8307
ADCHEM_SAS7BDAT_TR02AG2N,BASE_ROW,8307
ADCHEM_SAS7BDAT_TRT03A,BASE_ROW,19993
ADCHEM_SAS7BDAT_TRT03AN,BASE_ROW,19993
ADCHEM_SAS7BDAT_T03ACG1,BASE_ROW,15273
ADCHEM_SAS7BDAT_T03ACG1N,BASE_ROW,15273
ADCHEM_SAS7BDAT_DOSENUM,BASE_ROW,18420
ADCHEM_SAS7BDAT_BASETYPE,BASE_ROW,20398
ADCHEM_SAS7BDAT_PARAM,BASE_ROW,20398
ADCHEM_SAS7BDAT_PARCAT1,BASE_ROW,20398
ADCHEM_SAS7BDAT_BASE,BASE_ROW,19549
ADCHEM_SAS7BDAT_CHG,BASE_ROW,17540
ADCHEM_SAS7BDAT_PCHG,BASE_ROW,17540
ADCHEM_SAS7BDAT_ANL01FL,BASE_ROW,19238
ADCHEM_SAS7BDAT_ANL02FL,BASE_ROW,4259
ADCHEM_SAS7BDAT_ANL03FL,BASE_ROW,343
ADCHEM_SAS7BDAT_ANL04FL,BASE_ROW,1232
ADCHEM_SAS7BDAT_ANL05FL,BASE_ROW,2615
ADCHEM_SAS7BDAT_ANL06FL,BASE_ROW,361
ADCHEM_SAS7BDAT_ANL07FL,BASE_ROW,2117
ADCHEM_SAS7BDAT_SRCSEQ,BASE_ROW,20398
ADCHEM_SAS7BDAT_SRCVAR,BASE_ROW,20398
ADCHEM_SAS7BDAT_SRCDOM,BASE_ROW,20398
ADCHEM_SAS7BDAT_ABLFL,BASE_ROW,2011
ADCHEM_SAS7BDAT_APOBLFL,BASE_ROW,17648
ADCHEM_SAS7BDAT_AVALCAT1,BASE_ROW,11806
ADCHEM_SAS7BDAT_BASECAT1,BASE_ROW,11806
ADCHEM_SAS7BDAT_ANRHI,BASE_ROW,20269
ADCHEM_SAS7BDAT_ANRLO,BASE_ROW,20269
ADCHEM_SAS7BDAT_ANRIND,BASE_ROW,20272
ADCHEM_SAS7BDAT_BNRIND,BASE_ROW,20371
ADCHEM_SAS7BDAT_SHIFT1,BASE_ROW,11813
ADCHEM_SAS7BDAT_LBDTC,BASE_ROW,20398
ADCHEM_SAS7BDAT_LBSTRESC,BASE_ROW,20281
ADCHEM_SAS7BDAT_LBSTRESU,BASE_ROW,20278
ADCHEM_SAS7BDAT_LBSTNRC,BASE_ROW,557
ADCHEM_SAS7BDAT_LBSTNRLO,BASE_ROW,20269
ADCHEM_SAS7BDAT_LBSTNRHI,BASE_ROW,20269
ADCHEM_SAS7BDAT_LBNRIND,BASE_ROW,20272
ADCHEM_SAS7BDAT_LBSTAT,BASE_ROW,504
ADCHEM_SAS7BDAT_LBTOX,BASE_ROW,4335
ADCHEM_SAS7BDAT_LBTOXGR,BASE_ROW,4335
ADCHEM_SAS7BDAT_LBSPEC,BASE_ROW,20359
ADCHEM_SAS7BDAT_LBREFID,BASE_ROW,20398
ADCHEM_SAS7BDAT_LBSPID,BASE_ROW,20398
ADCHEM_SAS7BDAT_VISITNUM,BASE_ROW,20398
ADCHEM_SAS7BDAT_VISIT,BASE_ROW,20398
ADCHEM_SAS7BDAT_SAFFL,BASE_ROW,20398
ADCHEM_SAS7BDAT_SAF2FL,BASE_ROW,20398
ADCHEM_SAS7BDAT_COMPLFL,BASE_ROW,20398
ADCHEM_SAS7BDAT_ENTERMFL,BASE_ROW,20398
ADCHEM_SAS7BDAT_RANDFL,BASE_ROW,20398
ADCHEM_SAS7BDAT_RAND2FL,BASE_ROW,20398
ADCHEM_SAS7BDAT_SAFW8FL,BASE_ROW,20398
ADCHEM_SAS7BDAT_AGE,BASE_ROW,20398
ADCHEM_SAS7BDAT_AGEU,BASE_ROW,20398
ADCHEM_SAS7BDAT_SEX,BASE_ROW,20398
ADCHEM_SAS7BDAT_RACE,BASE_ROW,20398
ADCHEM_SAS7BDAT_COUNTRY,BASE_ROW,20398
ADCHEM_SAS7BDAT_SITEID,BASE_ROW,20398
ADCHEM_SAS7BDAT_SUBJID,BASE_ROW,20398
ADCHEM_SAS7BDAT_PARAMCD_ALB_AVAL,BASE_ROW,20258
ADCHEM_SAS7BDAT_PARAMCD_ALP_AVAL,BASE_ROW,20235
ADCHEM_SAS7BDAT_PARAMCD_ALT_AVAL,BASE_ROW,20117
ADCHEM_SAS7BDAT_PARAMCD_AST_AVAL,BASE_ROW,19958
ADCHEM_SAS7BDAT_PARAMCD_BILDIR_AVAL,BASE_ROW,19521
ADCHEM_SAS7BDAT_PARAMCD_BILI_AVAL,BASE_ROW,20083
ADCHEM_SAS7BDAT_PARAMCD_BUN_AVAL,BASE_ROW,20243
ADCHEM_SAS7BDAT_PARAMCD_CA_AVAL,BASE_ROW,20242
ADCHEM_SAS7BDAT_PARAMCD_CL_AVAL,BASE_ROW,20074
ADCHEM_SAS7BDAT_PARAMCD_CREAT_AVAL,BASE_ROW,20236
ADCHEM_SAS7BDAT_PARAMCD_K_AVAL,BASE_ROW,20011
ADCHEM_SAS7BDAT_PARAMCD_PHOS_AVAL,BASE_ROW,20228
ADCHEM_SAS7BDAT_PARAMCD_PROT_AVAL,BASE_ROW,20240
ADCHEM_SAS7BDAT_PARAMCD_SODIUM_AVAL,BASE_ROW,20064
ADCHEM_SAS7BDAT_PARAMCD_FSH_AVAL,BASE_ROW,35
ADCHEM_SAS7BDAT_PARAMCD_HBVVLD_AVALC,BASE_ROW,235
ADCHEM_SAS7BDAT_PARAMCD_BILDIR_AVALC,BASE_ROW,0
ADCHEM_SAS7BDAT_PARAMCD_ALB_AVALC,BASE_ROW,0
ADCHEM_SAS7BDAT_PARAMCD_ALP_AVALC,BASE_ROW,0
ADCHEM_SAS7BDAT_PARAMCD_ALT_AVALC,BASE_ROW,0
ADCHEM_SAS7BDAT_PARAMCD_AST_AVALC,BASE_ROW,0
ADCHEM_SAS7BDAT_PARAMCD_BILI_AVALC,BASE_ROW,0
ADCHEM_SAS7BDAT_PARAMCD_BUN_AVALC,BASE_ROW,0
ADCHEM_SAS7BDAT_PARAMCD_CA_AVALC,BASE_ROW,0
ADCHEM_SAS7BDAT_PARAMCD_CL_AVALC,BASE_ROW,0
ADCHEM_SAS7BDAT_PARAMCD_CREAT_AVALC,BASE_ROW,0
ADCHEM_SAS7BDAT_PARAMCD_K_AVALC,BASE_ROW,0
ADCHEM_SAS7BDAT_PARAMCD_PHOS_AVALC,BASE_ROW,0
ADCHEM_SAS7BDAT_PARAMCD_PROT_AVALC,BASE_ROW,0
ADCHEM_SAS7BDAT_PARAMCD_SODIUM_AVALC,BASE_ROW,0
ADCHEM_SAS7BDAT_PARAMCD_HCG_AVALC,BASE_ROW,549
ADCHEM_SAS7BDAT_PARAMCD_FSH_AVALC,BASE_ROW,0
ADCHEM_SAS7BDAT_PARAMCD_HIV2NUAC_AVALC,BASE_ROW,7
ADCHEM_SAS7BDAT_PARAMCD_HIV1NUAC_AVALC,BASE_ROW,6
ADCM_SAS7BDAT_STUDYID,BASE_ROW,784
ADCM_SAS7BDAT_TR01PG1,BASE_ROW,784
ADCM_SAS7BDAT_TR01PG1N,BASE_ROW,784
ADCM_SAS7BDAT_TR02PG1,BASE_ROW,300
ADCM_SAS7BDAT_TR02PG1N,BASE_ROW,300
ADCM_SAS7BDAT_TR02PG2,BASE_ROW,300
ADCM_SAS7BDAT_TR02PG2N,BASE_ROW,300
ADCM_SAS7BDAT_TRT03P,BASE_ROW,783
ADCM_SAS7BDAT_TRT03PN,BASE_ROW,783
ADCM_SAS7BDAT_PARAM,BASE_ROW,784
ADCM_SAS7BDAT_PARAMN,BASE_ROW,784
ADCM_SAS7BDAT_SAFFL,BASE_ROW,784
ADCM_SAS7BDAT_COMPLFL,BASE_ROW,784
ADCM_SAS7BDAT_RANDFL,BASE_ROW,784
ADCM_SAS7BDAT_COMP20FL,BASE_ROW,784
ADCM_SAS7BDAT_SAFW8FL,BASE_ROW,784
ADCM_SAS7BDAT_ENTERMFL,BASE_ROW,784
ADCM_SAS7BDAT_ENEXTFL,BASE_ROW,784
ADCM_SAS7BDAT_SAF2FL,BASE_ROW,784
ADCM_SAS7BDAT_RAND2FL,BASE_ROW,784
ADCM_SAS7BDAT_AGE,BASE_ROW,784
ADCM_SAS7BDAT_AGEU,BASE_ROW,784
ADCM_SAS7BDAT_SEX,BASE_ROW,784
ADCM_SAS7BDAT_RACE,BASE_ROW,784
ADCM_SAS7BDAT_ETHNIC,BASE_ROW,784
ADCM_SAS7BDAT_COUNTRY,BASE_ROW,784
ADCM_SAS7BDAT_REGION,BASE_ROW,783
ADCM_SAS7BDAT_SITEID,BASE_ROW,784
ADCM_SAS7BDAT_SUBJID,BASE_ROW,784
ADCM_SAS7BDAT_PARAMCD_ADALIMUM_AVALC,BASE_ROW,783
ADCM_SAS7BDAT_PARAMCD_aminmed_AVALC,BASE_ROW,783
ADCM_SAS7BDAT_PARAMCD_antibmed_AVALC,BASE_ROW,783
ADCM_SAS7BDAT_PARAMCD_AZATHIOP_AVALC,BASE_ROW,784
ADCM_SAS7BDAT_PARAMCD_BALSALAZ_AVALC,BASE_ROW,784
ADCM_SAS7BDAT_PARAMCD_biomed_AVALC,BASE_ROW,783
ADCM_SAS7BDAT_PARAMCD_BUDESONI_AVALC,BASE_ROW,784
ADCM_SAS7BDAT_PARAMCD_CIPROFLO_AVALC,BASE_ROW,784
